"jobId","benefits","company_size","industry","processed_date","remote_status","requirements","salary_mentioned","salary_range","seniority_level","skills","technologies"
"muse-18310662","[{""S"":""competitive total compensation package""},{""S"":""remote and flexible working""},{""S"":""health benefits""}]","Medium","IoT/Technology","2025-10-05T18:39:03.180Z","Remote","[{""S"":""Bachelor's degree or higher in technical discipline""},{""S"":""1-3 years experience in technical product support role""},{""S"":""French fluency required""},{""S"":""Ability to work flexible hours - nights and weekends""}]","false","null","Entry","[{""S"":""technical support""},{""S"":""customer-facing skills""},{""S"":""communication skills""},{""S"":""troubleshooting""},{""S"":""French fluency""}]","[{""S"":""saas""},{""S"":""iot""},{""S"":""cloud applications""},{""S"":""mobile computing""},{""S"":""gps""},{""S"":""telematics""}]"
"muse-18249347","[]","Large","manufacturing/technology","2025-10-05T18:38:17.328Z","Hybrid","[{""S"":""college, university, or equivalent degree in computer science, information technology, business, or related subject, or relevant equivalent experience required""},{""S"":""certification in oracle planning & collaboration cloud implementation professional required""},{""S"":""certification in oracle demantra or oracle advanced supply chain planning highly beneficial""},{""S"":""3+ years implementation experience in oracle planning cloud solutions""},{""S"":""5+ years system analysis and design experience""},{""S"":""experience in full software development lifecycle process""},{""S"":""experience delivering solutions via agile methodologies preferred""}]","false","null","Senior","[{""S"":""expertise in oracle planning cloud""},{""S"":""demand planning""},{""S"":""s&op software applications""},{""S"":""technical domain knowledge""},{""S"":""strong system analysis and design capabilities""},{""S"":""excellent written and verbal communication skills""},{""S"":""ability to manage projects and deliver solutions using agile methodologies""}]","[{""S"":""oracle planning cloud""},{""S"":""oracle demantra""},{""S"":""oracle advanced supply chain planning""},{""S"":""agile""}]"
"muse-14107083","[]","Large","edtech/education technology","2025-10-05T18:31:44.623Z","Remote","[{""S"":""bachelor's degree in computer science or related field""},{""S"":""2+ years erp experience""},{""S"":""3+ years etl and sql server database development experience""}]","true","""$90,000/year""","Mid","[{""S"":""etl development""},{""S"":""sql development""},{""S"":""stored procedures""},{""S"":""performance tuning""},{""S"":""code profiling""},{""S"":""data migration""},{""S"":""relational modeling""},{""S"":""dimensional modeling""}]","[{""S"":""sql server""},{""S"":""ssrs""},{""S"":""ssis""},{""S"":""ssas""},{""S"":""azure sql""},{""S"":""azure data factory""},{""S"":""devops""}]"
"muse-16238396","[{""S"":""mental health support""},{""S"":""EAP""},{""S"":""Mindfulness Apps""},{""S"":""well-being education""},{""S"":""quarterly initiatives""}]","Large","technology/ai","2025-10-05T18:32:55.882Z","Remote","[{""S"":""No professional experience required""},{""S"":""Full professional proficiency in English and Spanish""},{""S"":""Familiarity with Peruvian business/media/sport/news/social media/cultural affairs""},{""S"":""Active use of Gmail, Google+, social media""},{""S"":""Daily broadband internet access""},{""S"":""Smartphone (Android 4.1/iOS 8+)""},{""S"":""Personal computer with antivirus""},{""S"":""Barcode Scanner app""}]","false","null","Entry","[{""S"":""communication skills""},{""S"":""English proficiency""},{""S"":""Spanish proficiency""},{""S"":""cultural awareness""},{""S"":""web browsing""},{""S"":""social media use""}]","[{""S"":""gmail""},{""S"":""google+""},{""S"":""android""},{""S"":""ios""},{""S"":""barcode scanner""}]"
"muse-15987056","[{""S"":""unlimited paid day off""},{""S"":""health plans""},{""S"":""401k with company match""},{""S"":""dental""},{""S"":""vision""},{""S"":""disability""},{""S"":""life insurance""},{""S"":""ad&d""},{""S"":""flexible spending accounts""},{""S"":""fitness centers""},{""S"":""wellness program""},{""S"":""flexible work schedule""}]","Large","managed IT services/technology","2025-10-05T18:31:44.623Z","Hybrid","[{""S"":""10+ years experience with multiple linux operating systems""},{""S"":""knowledge of networking, storage, security, virtualization, clustering and high availability concepts""},{""S"":""knowledge of system administrative practices in large scale data center environments""},{""S"":""working knowledge of zvm""},{""S"":""experience with supporting zlinux systems through 3270 console""},{""S"":""experience managing physical volumes, logical volumes and filesystems""}]","false","null","Lead","[{""S"":""linux administration""},{""S"":""high availability configuration""},{""S"":""system performance analysis""},{""S"":""server security""},{""S"":""patch management""},{""S"":""networking""},{""S"":""storage""},{""S"":""virtualization""},{""S"":""clustering""},{""S"":""incident management""},{""S"":""change management""},{""S"":""problem management""}]","[{""S"":""linux""},{""S"":""red hat""},{""S"":""sles""},{""S"":""zvm""},{""S"":""lvm""},{""S"":""vxvm""},{""S"":""zfs""}]"
"muse-18068644","[]","Enterprise","insurance","2025-10-05T18:35:53.315Z","Not specified","[{""S"":""4 year bachelors degree preferred""},{""S"":""3 or more years of experience preferred""}]","true","""$85,600.00 - $152,650.00 annually""","Senior","[{""S"":""computer programming""},{""S"":""computer science""},{""S"":""continuous delivery""},{""S"":""continuous deployment""},{""S"":""continuous integrations""},{""S"":""object-oriented design""},{""S"":""object-oriented programming""},{""S"":""pair programming""},{""S"":""software development life cycle""}]","[{""S"":""aws connect""},{""S"":""aws lambdas""},{""S"":""lex""},{""S"":""java""},{""S"":""spring""},{""S"":"".net""},{""S"":""ruby""},{""S"":""python""},{""S"":""golang""},{""S"":""javascript""}]"
"muse-18302251","[{""S"":""learning programs""},{""S"":""certifications""},{""S"":""volunteering platform""},{""S"":""employee referral program""}]","Enterprise","IT services","2025-10-05T18:39:03.180Z","Not specified","[{""S"":""Minimum 6+ years experience in z/OS System Administration""},{""S"":""Bachelor's degree in computer science or related field""},{""S"":""SME for MF ZOS system programming problem determination""}]","false","null","Senior","[{""S"":""z/OS system administration""},{""S"":""performance management""},{""S"":""root cause analysis""},{""S"":""disaster recovery planning""},{""S"":""technical consultation""},{""S"":""problem management""}]","[{""S"":""z/os""},{""S"":""unix system services""},{""S"":""smp/e""},{""S"":""rexx""},{""S"":""java""},{""S"":""vsam""},{""S"":""brms""},{""S"":""tape management""},{""S"":""atl/vtl""}]"
"muse-18310249","[{""S"":""comprehensive benefits package""},{""S"":""incentive programs""},{""S"":""recognition programs""},{""S"":""equity stock purchase""},{""S"":""401k contribution""}]","Large","Healthcare","2025-10-05T18:39:03.180Z","On-site","[{""S"":""Board-Certified MOHS Surgeon""},{""S"":""Completion of ACMS fellowship""},{""S"":""Ability to obtain medical professional license in WA""},{""S"":""Ability to obtain DEA with full prescriptive authority""}]","true","""$360,000 to $672,500 annually""","Senior","[{""S"":""MOHS surgery""},{""S"":""dermatology""},{""S"":""patient care""},{""S"":""surgical procedures""}]","[]"
"muse-17766760","[{""S"":""comprehensive health benefits coverage after 30 days""},{""S"":""401k with company match""},{""S"":""employee stock purchase plan""},{""S"":""opportunities for growth and development""},{""S"":""company paid training and tuition reimbursement""}]","Large","environmental services","2025-10-05T18:35:05.234Z","On-site","[{""S"":""class b cdl""},{""S"":""obtain hazmat and tanker endorsements within 90 days of employment""},{""S"":""successfully complete a background check, drug test, and physical""}]","true","$75k-$80k","Mid","[{""S"":""leadership experience""},{""S"":""intermediate computer skills""},{""S"":""excellent customer service skills""},{""S"":""excellent organization and attention to detail""},{""S"":""perform physical functions per job requirements""}]","[]"
"muse-17598682","[{""S"":""learning programs""},{""S"":""certifications""},{""S"":""volunteering platform""},{""S"":""employee referral program""}]","Large","enterprise software","2025-10-05T18:33:58.802Z","Not specified","[{""S"":""3+ years Workday HCM integration experience""},{""S"":""proficiency with Workday integration tools""},{""S"":""system integration skills""},{""S"":""knowledge of programming languages""},{""S"":""API integration experience""},{""S"":""database concepts understanding""},{""S"":""security protocols knowledge""}]","false","null","Mid","[{""S"":""Workday HCM integrations""},{""S"":""integration design""},{""S"":""data mapping""},{""S"":""transformation rules""},{""S"":""API development""},{""S"":""integration testing""},{""S"":""troubleshooting""},{""S"":""documentation""},{""S"":""change management""},{""S"":""performance monitoring""},{""S"":""security compliance""}]","[{""S"":""workday""},{""S"":""eib""},{""S"":""wws""},{""S"":""rest""},{""S"":""soap""},{""S"":""xslt""},{""S"":""javascript""},{""S"":""groovy""},{""S"":""xml""},{""S"":""json""},{""S"":""csv""},{""S"":""sql""},{""S"":""oauth""},{""S"":""saml""}]"
"muse-13501474","[{""S"":""employer-covered health, dental, and insurance""},{""S"":""Maven platform access""},{""S"":""wellness partnerships""},{""S"":""hybrid work""},{""S"":""16 weeks paid parental leave""},{""S"":""professional development stipend""},{""S"":""career coaching""},{""S"":""401K matching""}]","Large","digital healthcare","2025-10-05T18:00:04.542Z","Hybrid","[{""S"":""Bachelor's or Master's in Computer Science or related field""},{""S"":""8+ years experience in backend development and platform architecture""},{""S"":""experience building highly scalable systems""},{""S"":""experience with complex distributed systems""},{""S"":""cloud platform expertise""},{""S"":""proficiency in multiple programming languages""}]","true","""$225,000 - $300,000 per year""","Senior","[{""S"":""backend development""},{""S"":""platform architecture""},{""S"":""distributed systems design""},{""S"":""cloud-based solutions""},{""S"":""microservices architecture""},{""S"":""technical design""},{""S"":""mentoring""},{""S"":""problem-solving""},{""S"":""cross-functional collaboration""}]","[{""S"":""java""},{""S"":""python""},{""S"":""go""},{""S"":""aws""},{""S"":""google cloud""},{""S"":""azure""},{""S"":""microservices""},{""S"":""nosql""},{""S"":""relational databases""},{""S"":""containerization""},{""S"":""orchestration""},{""S"":""serverless""},{""S"":""infrastructure as code""}]"
"muse-17703673","[{""S"":""learning programs""},{""S"":""certifications""},{""S"":""volunteering platform""},{""S"":""employee referral program""}]","Large","financial services/public sector IT","2025-10-05T18:33:58.802Z","Hybrid","[{""S"":""mainframe infrastructure skills""},{""S"":""2+ years mainframe delivery experience""},{""S"":""2+ version upgrade/data center migration projects""},{""S"":""IT service management knowledge""},{""S"":""3+ years practical experience""},{""S"":""excellent communication skills""},{""S"":""complex problem solving ability""}]","false","null","Mid","[{""S"":""mainframe infrastructure""},{""S"":""system design""},{""S"":""data center migration""},{""S"":""system consolidation""},{""S"":""version upgrades""},{""S"":""modernization""},{""S"":""IT service management""},{""S"":""communication""},{""S"":""troubleshooting""}]","[{""S"":""z/os""},{""S"":""dbdc""},{""S"":""ai""}]"
"muse-18059213","[{""S"":""paid mileage""},{""S"":""travel reimbursement""},{""S"":""early access to earned wages""},{""S"":""career advancement""}]","Large","retail services","2025-10-05T18:35:53.315Z","On-site","[{""S"":""18 years or older""},{""S"":""lift up to 50 lbs.""},{""S"":""reliable transportation with valid driver's license""},{""S"":""willing to travel locally within assigned territory""}]","true","$18.00 per hour","Entry","[{""S"":""category resets""},{""S"":""product placement""}]","[]"
"muse-16215631","[{""S"":""bonuses""},{""S"":""paid time off""},{""S"":""region-specific benefits""}]","Large","cybersecurity","2025-10-05T18:32:55.882Z","Not specified","[{""S"":""8+ years experience with cloud-based ERP systems""},{""S"":""3+ years in management/team-leader/architect role""},{""S"":""5+ years with Agile development teams""},{""S"":""3+ years cloud platform System Administration""},{""S"":""3+ years Workday experience""},{""S"":""5+ years supporting cross-functional business stakeholders""},{""S"":""familiarity with accounting principles""},{""S"":""Bachelor's degree preferred""}]","true","""172,400.00 - 199,000.00""","Senior","[{""S"":""Workday Financials expertise""},{""S"":""systems integration""},{""S"":""data management""},{""S"":""people management""},{""S"":""Agile development""},{""S"":""cloud platform administration""},{""S"":""business analysis""},{""S"":""stakeholder engagement""},{""S"":""problem-solving""},{""S"":""analytical skills""}]","[{""S"":""workday""},{""S"":""zuora""},{""S"":""salesforce""},{""S"":""jira""},{""S"":""boomi""},{""S"":""data bricks""},{""S"":""microsoft excel""},{""S"":""microsoft access""}]"
"muse-18468855","[{""S"":""medical""},{""S"":""dental""},{""S"":""vision""},{""S"":""life insurance""},{""S"":""401(k)""},{""S"":""profit-sharing""},{""S"":""vacation leave""},{""S"":""paid holidays""},{""S"":""professional growth opportunities""}]","Large","geospatial technology","2025-10-05T18:01:25.043Z","Remote","[{""S"":""2+ years professional experience in planning/natural resources/tax assessment industry""},{""S"":""experience applying ArcGIS to industry workflows""},{""S"":""ability to document and build GIS workflows""},{""S"":""Bachelor's in geography or related field""}]","true","""$76,960-$128,544 USD""","Mid","[{""S"":""geospatial solutions""},{""S"":""industry workflows""},{""S"":""product design""},{""S"":""quality assurance""},{""S"":""testing""},{""S"":""problem solving""},{""S"":""documentation""},{""S"":""presentation""}]","[{""S"":""arcgis""},{""S"":""python""},{""S"":""arcade""},{""S"":""arcgis pro""}]"
"muse-17951555","[{""S"":""early access to earned wages""},{""S"":""paid training""},{""S"":""growth opportunities""},{""S"":""medical, dental, vision, life insurance""},{""S"":""supplemental voluntary plans""},{""S"":""wellness programs""},{""S"":""discounts through associate perks""}]","Medium","retail services","2025-10-05T18:35:05.234Z","On-site","[{""S"":""18 years or older""},{""S"":""reliable transportation and valid driver's license""},{""S"":""can lift up to 25 lbs""}]","true","$12.50 per hour","Entry","[{""S"":""detail-oriented""},{""S"":""physical work of moving, bending, standing, squatting""}]","[]"
"muse-17878214","[]","Enterprise","energy/hydroelectric","2025-10-05T18:35:05.234Z","Remote","[{""S"":""bachelor's degree in engineering""},{""S"":""minimum of 5 years of experience in project execution and engineering design of turbines and/or generators""},{""S"":""bilingual french and english""},{""S"":""must have unrestricted canadian work authorization""},{""S"":""ability and willingness to travel up to 20%""}]","false","null","Senior","[{""S"":""strong communication and project management skills""},{""S"":""proven leadership and negotiation skills""},{""S"":""proven analytical skills and strategic mindset""},{""S"":""relevant experience in planning and management of work-packages""}]","[]"
"muse-18059748","[{""S"":""medical""},{""S"":""dental""},{""S"":""vision""},{""S"":""life insurance""},{""S"":""supplemental voluntary plans""},{""S"":""wellness programs""},{""S"":""online discounts""},{""S"":""paid mileage""},{""S"":""travel reimbursement""},{""S"":""early access to earned wages""},{""S"":""career advancement""}]","Large","retail services","2025-10-05T18:35:53.315Z","On-site","[{""S"":""18 years or older""},{""S"":""lift up to 50 lbs.""},{""S"":""reliable transportation with valid driver's license""},{""S"":""willing to travel locally within assigned territory""}]","true","$18.00 - $20.00 per hour","Entry","[{""S"":""category resets""},{""S"":""product placement""}]","[]"
"muse-18298487","[{""S"":""medical insurance including dental & vision for employees and dependants""},{""S"":""group personal accidental insurance""},{""S"":""group term life insurance""},{""S"":""employee stock purchase plan (espp)""},{""S"":""wellness stipend""},{""S"":""mobile/internet reimbursement""},{""S"":""connections stipend""},{""S"":""learning and development allowance""},{""S"":""employee assistance program""},{""S"":""travel medical policy - global traveler""},{""S"":""fertility benefits""},{""S"":""generous time off/leave policy""}]","Large","cryptocurrency/fintech","2025-10-05T18:38:17.328Z","Remote","[{""S"":""8+ years experience in software engineering""},{""S"":""2+ years experience architecting big data systems around technologies like apache spark and hive""},{""S"":""experience uplevelling junior engineers""},{""S"":""knowledge of high quality code and software engineering processes""},{""S"":""passion for building open financial system""}]","false","null","Senior","[{""S"":""software engineering""},{""S"":""architecting big data systems""},{""S"":""mentoring junior engineers""},{""S"":""quality code standards""},{""S"":""software engineering processes""},{""S"":""financial systems knowledge""},{""S"":""performance tuning""}]","[{""S"":""apache spark""},{""S"":""hive""},{""S"":""golang""},{""S"":""grpc""},{""S"":""docker""},{""S"":""sql""}]"
"muse-10877718","[{""S"":""equity""},{""S"":""comprehensive benefits""},{""S"":""performance bonus""}]","Large","identity verification/fintech","2025-10-05T18:31:44.623Z","Remote","[{""S"":""bachelor's degree or equivalent""},{""S"":""7+ years related work experience""},{""S"":""3+ years management experience""}]","true","""$188,000 - $222,000""","Senior","[{""S"":""leading devops teams""},{""S"":""cloud infrastructure design""},{""S"":""ci/cd processes""},{""S"":""performance management""},{""S"":""agile/scrum""},{""S"":""ip networking""},{""S"":""pki""},{""S"":""vpns""},{""S"":""dns""},{""S"":""load balancing""},{""S"":""firewalling""}]","[{""S"":""aws""},{""S"":""ec2""},{""S"":""eks""},{""S"":""s3""},{""S"":""cloudfront""},{""S"":""cdk""},{""S"":""terraform""},{""S"":""python""},{""S"":""bash""},{""S"":""gitlab""}]"
"muse-18080741","[{""S"":""weekly pay""},{""S"":""PTO""},{""S"":""medical""},{""S"":""dental""},{""S"":""vision""},{""S"":""company-paid life insurance""},{""S"":""401k""},{""S"":""referral bonuses""},{""S"":""flexible schedules""}]","Medium","healthcare","2025-10-05T18:35:53.315Z","On-site","[{""S"":""RN/LVN with current valid license""},{""S"":""current CPR certification""}]","false","null","Mid","[{""S"":""pediatric care""}]","[]"
"muse-16763878","[{""S"":""health coverage""},{""S"":""paid volunteer days""},{""S"":""wellness resources""}]","Large","software/technology","2025-10-05T18:32:55.882Z","Remote","[{""S"":""Experience with JavaScript (ES6), HTML5, CSS""},{""S"":""Experience with modern JavaScript frameworks""},{""S"":""Understanding of modern frontend ecosystem""},{""S"":""Extensive experience with testing frameworks""},{""S"":""Strong JavaScript language skills""},{""S"":""Experience building frontend applications at scale""},{""S"":""Experience in Agile software development""},{""S"":""Bachelor's or Master's degree in CS or equivalent""}]","false","null","Senior","[{""S"":""frontend development""},{""S"":""modern JavaScript frameworks""},{""S"":""frontend ecosystem knowledge""},{""S"":""testing frameworks""},{""S"":""Agile methodologies""},{""S"":""software engineering""},{""S"":""mentoring""}]","[{""S"":""javascript""},{""S"":""html5""},{""S"":""css""},{""S"":""react""},{""S"":""angularjs""},{""S"":""vue""},{""S"":""typescript""},{""S"":""jest""},{""S"":""cypress""},{""S"":""mocha""},{""S"":""chai""}]"
"muse-16763886","[{""S"":""health coverage""},{""S"":""paid volunteer days""},{""S"":""wellness resources""},{""S"":""bonuses""},{""S"":""commissions""},{""S"":""equity""}]","Large","software/technology","2025-10-05T18:32:55.882Z","Remote","[{""S"":""5+ years experience managing software engineers""},{""S"":""Bachelor's or Master's degree in CS or equivalent""},{""S"":""Experience partnering with internal customers""},{""S"":""Experience implementing dev-ops best practices""},{""S"":""Familiarity with high traffic e-commerce websites""}]","true","""Zone A: $205,800 - $274,400, Zone B: $185,200 - $246,900, Zone C: $170,800 - $227,700""","Senior","[{""S"":""engineering management""},{""S"":""technical leadership""},{""S"":""people management""},{""S"":""dev-ops practices""},{""S"":""e-commerce""},{""S"":""continuous improvement""},{""S"":""budgeting""},{""S"":""hiring planning""}]","[{""S"":""microservices""}]"
"muse-18513958","[{""S"":""equity plan""},{""S"":""RSUs""},{""S"":""overtime pay""},{""S"":""health benefits""},{""S"":""growth opportunities""}]","Large","software CRM","2025-10-05T18:40:03.324Z","Hybrid","[{""S"":""experience with software engineering""},{""S"":""experience designing and operating distributed systems and cloud infrastructure at scale""},{""S"":""experience working collaboratively with other engineering teams""}]","true","218900-328400 USD Annually","Senior","[{""S"":""software engineering""},{""S"":""distributed systems""},{""S"":""cloud infrastructure""},{""S"":""collaborative engineering""},{""S"":""process implementation""},{""S"":""technical leadership""},{""S"":""stakeholder management""}]","[]"
"muse-18392636","[{""S"":""health insurance""},{""S"":""dental""},{""S"":""vision""},{""S"":""flexible spending accounts""},{""S"":""maven family building benefit""},{""S"":""401(k) with match""},{""S"":""bonus program""},{""S"":""commuter benefits""},{""S"":""legal services""},{""S"":""employee assistance""},{""S"":""tuition reimbursement""},{""S"":""financial wellness""},{""S"":""travel assistance""},{""S"":""pet insurance""},{""S"":""gym subsidies""},{""S"":""wellness perks""},{""S"":""paid time off""},{""S"":""parental leave""}]","Large","fintech/electronic trading","2025-10-05T18:01:25.043Z","Remote","[{""S"":""Bachelor's Degree in Computer Science preferred""},{""S"":""5+ years professional web application development""},{""S"":""expert-level JavaScript knowledge""},{""S"":""angular 17+ experience""},{""S"":""superior analytical skills""},{""S"":""effective communication skills""}]","true","""$154,000-$350,000 per year""","Senior","[{""S"":""javascript development""},{""S"":""angular development""},{""S"":""typescript development""},{""S"":""html5 development""},{""S"":""css3 development""},{""S"":""automated testing""},{""S"":""unit testing""},{""S"":""test-driven development""},{""S"":""performance optimization""},{""S"":""problem solving""},{""S"":""debugging""}]","[{""S"":""javascript""},{""S"":""angular""},{""S"":""typescript""},{""S"":""rx.js""},{""S"":""html5""},{""S"":""css3""},{""S"":""sass""},{""S"":""node.js""},{""S"":""nest.js""},{""S"":""mongo""},{""S"":""redis""},{""S"":""docker""},{""S"":""c++""}]"
"muse-18202295","[{""S"":""flexible working hours""},{""S"":""remote work options""},{""S"":""continuous learning and mentorship programs""},{""S"":""Employee Assistance Program""},{""S"":""company events""},{""S"":""company-provided mobile phone""},{""S"":""ePassi benefits""},{""S"":""bicycle benefit""}]","Enterprise","Technology/Banking & Financial Services","2025-10-05T18:37:00.605Z","Hybrid","[{""S"":""At least 5 years experience as software engineer on complex projects""},{""S"":""Excellent coding skills with Java""},{""S"":""Software development methodologies experience""},{""S"":""Knowledge of architecture design""},{""S"":""Ability to thrive in agile environment""},{""S"":""Familiarity with Agile methodologies""},{""S"":""Good collaboration and communication skills""},{""S"":""Proficiency in English""},{""S"":""Bachelor's degree in Computer Science or equivalent preferred""}]","false","null","Senior","[{""S"":""software development""},{""S"":""debugging""},{""S"":""problem-solving""},{""S"":""agile methodologies""},{""S"":""architecture design""},{""S"":""collaboration""},{""S"":""communication""}]","[{""S"":""java""},{""S"":""devops""},{""S"":""ci/cd""}]"
"muse-18258262","[{""S"":""bonus""},{""S"":""equity""},{""S"":""benefits""}]","Large","gaming/technology","2025-10-05T18:38:17.328Z","Not specified","[{""S"":""4+ years professional software development experience""},{""S"":""experience running live web service that can scale horizontally""},{""S"":""experience working and running web services""},{""S"":""demonstrated experience working in self-managed, outcome focused environments""},{""S"":""experience learning new programming languages, systems, and devices""},{""S"":""experience completing ship cycle for product""},{""S"":""bachelor in computer science/electrical engineering or equivalent experience""},{""S"":""multiple years experience running web services in production""}]","true","""$147,000/year to $208,000/year + bonus + equity + benefits""","Mid","[{""S"":""creating and maintaining web services""},{""S"":""designing and developing quality code""},{""S"":""working in self-managed environments""},{""S"":""learning new programming languages""},{""S"":""running web services in production""},{""S"":""server-based multi-user game engineering design""}]","[{""S"":""unity3d""},{""S"":""php""},{""S"":""hack""},{""S"":""python""},{""S"":""c#""},{""S"":"".net""}]"
"muse-18102235","[{""S"":""medical, dental and vision coverage""},{""S"":""403(b) with employer matching""},{""S"":""paid time off""},{""S"":""paid family and medical leave""},{""S"":""employer-paid basic life and AD&D coverage""},{""S"":""employer paid short term and long-term disability""},{""S"":""wellness benefits""},{""S"":""flexible spending accounts""},{""S"":""health savings accounts""},{""S"":""identity theft protection""},{""S"":""pet insurance""},{""S"":""employee discount programs""},{""S"":""education benefits""},{""S"":""tuition reimbursement""},{""S"":""loan forgiveness assistance""}]","Large","Healthcare","2025-10-05T18:37:00.605Z","On-site","[{""S"":""Basic Life Support (BLS) Healthcare Provider certification within 30 days of hire""},{""S"":""Telemetry or CNA experience preferred""}]","true","$18.83 - $28.25 / hour","Entry","[{""S"":""critical thinking skills""},{""S"":""decisive judgement""},{""S"":""ability to work with minimal supervision""},{""S"":""ability to work in fast-paced environment""}]","[]"
